Code,Area/INDICATOR,Inner/ Outer London,GLA Population Estimate 2013,GLA Household Estimate 2013,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2013),% of largest migrant population (2013),Second largest migrant population by country of birth (2013),% of second largest migrant population (2013),Third largest migrant population by country of birth (2013),% of third largest migrant population (2013),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (Feb-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2013)",Gross Annual Pay - Male (2013),Gross Annual Pay - Female (2013),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2012),% of employment that is in public sector (2012),"Jobs Density, 2012","Number of active businesses, 2012",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2013),Ambulance incidents per hundred population (2013),"Median House Price, 2013","Average Band D Council Tax charge (£), 2014/15",New Homes (net) 2012/13,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2012/13","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2011/12","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (Feb-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13",Rates of Children Looked After (2013),% of pupils whose first language is not English (2014),"Male life expectancy, (2010-12)","Female life expectancy, (2010-12)",Teenage conception rate (2012),Life satisfaction score 2012-13 (out of 10),Worthwhileness score 2012-13 (out of 10),Happiness score 2012-13 (out of 10),Anxiety score 2012-13 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000001,City of London,Inner London,8000,4514.371383,290.4,27.5258683,41.30388748,7.948035795,77.54161663,14.51034757,-,-,-,-,-,-,-,22.55723758,17.13810316,712,125.3079901,!,!,!,!,!,5.059021922,4.6,.,!,65.3,.,.,.,.,447900,5.3,77.46,16765,62.71676301,.,11.625,80.875,595000,941.79,40,-,-,-,-,4.8,1498.950518,36.41000249,1692,0.385860889,18,7.631205083,262,0.527983105,.,.,98,.,.,.,.,8.1,8.23,7.44,x,,,,,
E09000002,Barking and Dagenham,Outer London,195600,73261.40858,3610.8,54.1605272,33.22893492,26.07293946,63.83502087,10.09203968,35.78947368,Nigeria,5.814974711,Lithuania,4.610818361,Pakistan,3.149006412,45.71235721,18.72420091,4405,35.96769848,63.2,73.2,53.5,13,25.5,5.754315737,14.3,22.6,15.7,21.2,28408,30714,24320,20.52970603,54500,22.10953347,0.46,4580,70.86614173,82.64386268,3.767893661,14.08486708,180000,1315.4,510,15.8,29.1,34.9,17.9,33.6,780.8353725,26.84472568,56966,0.817525581,9,2.994817392,22,4.041773154,27.9055861,60.2,76,44.69406675,77.6,82,35.4,7.06,7.57,6.97,3.3,Lab,0,100,0,38.16
E09000003,Barnet,Outer London,370000,141385.7949,8674.8,42.65137386,36.89624597,20.88640807,65.50559294,13.60799899,35.85434174,India,2.234625864,Ireland,2.041252899,Iran,1.863079556,37.14881092,23.40503656,9406,39.08450997,72.5,80,65,5.3,12.1,2.30761513,7.8,11.8,4.4,43.8,33006,39030,28346,33.17655799,153000,20.28380634,0.65,22110,66.59836066,61.47043523,1.951351351,11.61675676,346000,1401.07,1370,31.5,29.3,12.9,24.2,41.3,1541.983093,33.02972912,144717,1.06475323,9,2.994527416,176,1.736904653,15.0698493,71.5,37,43.18743229,81.4,84.5,14.7,7.35,7.79,7.27,2.63,Cons,50.79365079,42.85714286,1.587301587,41.1
E09000004,Bexley,Outer London,236500,94701.2264,6058.1,39.04424318,38.88303935,20.28282979,63.14645001,16.5707202,16.45021645,Nigeria,2.169909833,Poland,1.902570702,Ghana,1.211908507,19.62009529,6.031288965,1401,9.408809762,72.2,79.5,65.1,8.6,16.7,4.230317274,8.5,20.2,4.8,21.9,32856,34254,29272,22.13447998,77400,18.04733728,0.53,7390,71.42857143,49.93092143,2.329809725,12.15052854,224999.5,1427.59,420,36.2,36.9,14.6,11.7,31.7,1095.973066,54.29919044,108507,1.171731243,10,2.513007466,174,2.236355211,18.23969715,66,47,14.11748963,80.3,84.4,25.8,7.47,7.75,7.21,3.22,Cons,71.42857143,23.80952381,0,not avail
E09000005,Brent,Outer London,320200,114318.5539,4323.3,74.0636695,35.26269433,20.46258456,68.71487212,10.82254332,53.307393,India,10.71727274,Kenya,2.938277713,Romania,2.847965823,64.9481413,37.15111978,16696,76.71665931,65.9,75.3,56,9.4,19.4,2.992021277,10.8,18.7,7.9,36.9,28111,28713,27492,17.25858577,121900,19.13919414,0.57,13220,71.47239264,76.97690252,2.142410993,12.67613991,350000,1357.94,660,19.5,24.5,23,30.9,21.9,1358.225603,42.50254859,87802,0.796130062,10,3.702752643,35,2.256102044,21.77620359,62.9,49,61.95572423,79.9,84.5,19.6,7.23,7.32,7.09,3.33,Lab,9.523809524,88.88888889,1.587301587,33
E09000006,Bromley,Outer London,317400,134012.6751,15013.5,21.13765518,39.8445025,19.64800146,62.92705109,17.42494745,15.87301587,India,2.550178893,Ireland,0.794234819,Nigeria,0.699078891,16.89774697,5.792821368,1902,9.519662457,77.7,83.9,71.8,5.1,28,5.776107087,7.5,16.4,5.8,39.1,36327,40504,32125,28.97258431,120100,18.43137255,0.62,13425,75.93220339,61.09173039,2.353497164,11.41965974,295650,1309.07,690,39.6,37.4,9.7,11.1,57.8,1376.12302,49.06874814,153908,1.176109184,14,2.7133846,203,1.881910139,14.70013082,73.9,40,10.12445264,81,84.5,24.2,7.63,7.8,7.36,3.2,Cons,85,11.66666667,0,not avail
E09000007,Camden,Inner London,228400,100841.9165,2178.9,104.8209847,35.84241343,15.63261689,73.31347333,11.05390978,44.21487603,Bangladesh,3.957925353,United States,3.545607033,Poland,2.38177867,34.5668526,23.46326306,8715,52.84860981,64.7,70.7,58.4,7.1,19.3,4.363803399,10.5,17,9.7,53.7,37685,40969,36080,21.9178877,342000,13.51265823,2.11,26460,67.57679181,124.3780445,3.143607706,15.67206655,575000,1320.77,560,16.5,15.5,37.3,29.4,24.8,1625.373353,30.91039229,46601,0.47779236,18,5.597510111,74,2.413510809,24.44878093,60.4,67,54.29475349,80.5,85.4,18.1,7.22,7.37,7.13,3.25,Lab,22.22222222,74.07407407,1.851851852,38.69
E09000008,Croydon,Outer London,373100,150053.929,8650.4,43.12970749,36.57076142,21.64188829,65.63858929,12.71952242,32.75862069,India,3.567560113,Pakistan,2.730618613,Poland,2.727458174,47.24220559,14.49526773,5776,23.70720615,73.4,76.9,69.9,9.4,25.4,3.021824287,10.4,16.8,6.1,33,31181,35195,27004,27.18704922,137700,22.0880069,0.58,13020,72.24080268,75.52206293,2.422942911,13.67274189,240000,1470.39,890,26.6,38.8,14.5,18.8,37.1,1540.439418,44.30472711,140049,0.965788566,8,3.241855079,107,2.696612611,20.82664152,64.4,82,29.0884268,79.2,83.2,28.6,7,7.46,7.11,3.02,Lab,42.85714286,57.14285714,0,38
E09000009,Ealing,Outer London,344900,126860.9776,5554.4,62.08980818,35.63709882,20.64203479,68.21668926,11.14127595,46.91358025,India,9.498569018,Poland,4.301600351,Kenya,3.809255951,52.3521634,33.87848658,11289,48.57238744,67.1,75.2,58.2,10.9,39.4,3.288201161,9.8,17.6,10.6,36.9,29778,31457,27785,32.07985674,147000,16.00324939,0.64,15065,70.84548105,75.28307065,2.278921427,11.95940852,327000,1358.93,990,20.8,30.9,16.2,30.8,30.9,1602.831719,40.56787696,112845,0.909438919,14,3.307381371,80,2.022235991,19.84174704,60.9,51,59.63179916,79.2,84.2,22.4,7.24,7.48,7.44,3.58,Lab,17.39130435,76.8115942,5.797101449,41.3
E09000010,Enfield,Outer London,322400,124601.9547,8083.2,39.88848607,36.06287061,22.18255631,65.11493373,12.70250996,32.33333333,Turkey,3.340961556,Cyprus,2.390880826,Nigeria,2.008246487,41.23426771,22.85315024,5665,27.32622642,66.4,74.5,58.4,7.2,11.8,4.167129681,12.1,15.3,8.7,28.9,29629,32143,27996,22.43595659,116700,23.14629259,0.57,11280,69.42446043,70.49082128,2.692307692,12.75868486,250000,1399.34,550,28.8,30.2,19.9,20.8,45.6,1266.63818,38.81464557,119653,0.997806798,8,2.944932824,64,3.145048478,25.25667834,63.2,37,45.8412632,80.5,84,26.4,7.18,7.57,7.41,2.51,Lab,34.92063492,65.07936508,0,37.79
